"id","body","segment"
2291,"""24 hours access to news""",2
2292,"""We prefer to get most of our information from third party sources rather than asset managers.  However, we want them to be accessible when we need information or clarification""",4
2294,"""nne""",1
2296,"""Focus on education""",2
2298,"""Not much.""",3
2299,"""My asset managers meet my needs, otherwise I would replace them.""",3
2300,"""Really can't think of anything I'm missing.""",2
2303,"""Specific fund recommendations for new investments $$$""",4
2308,"""unbiased long term focus""",3
2312,"""I do not rely on asset managers.  My primary sources are WSJ, Morningstar, and independent analysts.""",2
2313,"""Long term market outlook""",2
2314,"""better performance""",1
2320,"""I get all I need.""",3
2323,"""More filtering of sensational news that has little long term value.""",1
2324,"""More accurate research on retirement planning issues done by non biased university professors""",1
2325,"""Rapid commentary on ongoing events""",2
2333,"""More information on closed end funds""",2
2337,"""transparency, fee reductions""",3
2338,"""marketing ideas""",4
2339,"""More instantaneous news; i.e. podcasts, short articles, twitter updates.""",3
2340,"""all good""",1
2346,"""?""",2
2348,"""UNBIASED OBJECTIVE NEWS""",3
2364,"""Robo advisory platform""",1
2391,"""Outlook""",1
2394,"""on demand tv dvr""",1
2398,"""Unbiased, factual, verifiable news.  Don't want editorializing...leave that to the print media or, at least, label it as such.""",2
2399,"""Dow Jones News.""",1
2403,"""Sound reason to use their funds.""",4
2405,"""?""",1
2406,"""Asset allocation""",4
2408,"""Good summary in one place""",3
2410,"""More frequent updates on the investment selections they are making.""",4
2415,"""More information on financial planning topics.""",3
2419,"""aggregate service of all new sources custimzed to my interest""",2
2421,"""I am satisfied. I just need investment fund profiles and performance.""",3
2436,"""A good financial planning proposal tool.""",2
2438,"""I receive too much information and services""",4
2440,"""None thankfully""",2
2442,"""Faster response to events""",1
2456,"""I get what I need""",4
2470,"""I get what I need""",4
2471,"""Simplified concepts""",1
2479,"""earning call summary""",4
2482,"""Again i have too much information and news so i really need less.""",4
2487,"""Fee analysis""",3
2488,"""More direction on which asset allocation model is good for the current market environment.  Ways to invest in fixed income for when rates rise...etc.""",1
2490,"""commentary in a timely manner to send to clients""",4
2492,"""Discussion around asset allocation theory""",3
2494,"""Too much information""",4
2495,"""More than enough info out there. Don't need any more.""",4
2496,"""I get what I need""",4
2498,"""Unbiased information""",4
2499,"""I feel we have plenty of sources of information to service our clients.""",2
2500,"""Just want sources to be non-biased and accurate""",3
2501,"""In-depth, defendable analysis of how what they offer better meets clients' vs. the current solution""",2
2502,"""more updated about portfolio changes and why""",4
2503,"""practice managment tools""",3
2506,"""access to breaking news""",3
2510,"""More information regarding asset distribution""",4
2511,"""Fee clarity""",3
2513,"""I don't work with asset managers.  I am a sole proprietor with 40+ years in the investment business.  I don't use and don't trust most major asset managers and news sources.""",2
2515,"""more transparency""",2
2516,"""No particular problems""",4
2517,"""Non-biased views""",3
2519,"""Financial Planning""",4
2520,"""updates that are user friendly""",2
2521,"""Continue to improve technology applications and relevant & timely, client-focused material.""",3
2522,"""Centralized.  All info on one page instead of multi page""",1
2524,"""-""",1
2525,"""Fewer options""",2
2526,"""current and accurate""",1
2528,"""No additional information needed.""",3
2529,"""nothing I can think of at this time""",1
2530,"""how different risk affects different markets distinctly""",3
2533,"""I get adequate info from asset managers""",4
2534,"""More frequent updates on performance and market commentary.""",1
2535,"""Information on emerging market trends.""",2
2541,"""Prospecting methods and truly attractive unique products at a low cost to attract new clients.""",1
2542,"""More long term strategies and stop the hype about how politics affects things on a daily basis""",4
2543,"""More client facing material""",1
2544,"""Portfolio modeling of various funds in all the asset classes""",3
2545,"""More updated information on product offerings, expenses, etc.  Alignment of information / service with relation to DOL.""",4
2546,"""Demographic needs of various age groups i.e., millennials and Gen x""",3
2548,"""Continuing e-mail service for updates.""",1
2557,"""Tools to combine client presentation information across types of allocations and custodians""",2
2562,"""Not getting any info right now""",2
2565,"""Topic based news and key words""",2
2568,"""nothing in particular""",4
2569,"""There is nothing specific I need at this time""",3
2570,"""news other than company specific.""",4
2571,"""market timing tools""",2
2572,"""More long-term context; most asset managers give information for the next year or so and rarely longer.""",1
2573,"""I receive too much information today.  With regards to services, it really is a matter of flexibility. Being able to offer a broad range of services allows us to be better serve the needs of more clients.""",3
2574,"""Consolidated research.""",3
2575,"""Need less information, but better quality information and less generic material""",1
2576,"""Less emails""",1
2579,"""Real time information""",4
2581,"""More information on why they are investing in whatever they are investing in.""",4
2583,"""On command data info, up-to-date transparency and real-time analysis.""",2
2590,"""Lower fees""",3
2591,"""What the client is reading and thinking.""",4
2593,"""thoughts and ideas that are currently working within our industry""",2
2594,"""retirement income solutions""",3
2596,"""Info for investing that is longer term in nature""",1
2599,"""A place where my sources are consolidated""",1
2602,"""More frequency. Less new sales products and more service on existing assets. If I just tried to meet with clients and only sell new products and not service existing, I'd lose money.""",4
2603,"""more market outlook""",4
2604,"""Facts easier to find.""",1
2606,"""comparative info""",2
2607,"""access to current trends of the market to anticipate where and when the asset managers are pivoting to different sectors""",4
2609,"""Honest political discussion""",2
2611,"""I need up to the date info on occasions.  They usually don't have that.""",1
2613,"""I'm  the only one in the industry that isn't corrupt""",2
2614,"""low cost investments for me and my clients""",2
2618,"""I think most asset managers are complete garbage. They tell a compelling story and then the story doesn't perform and they make excuses. I need someone to provide better passive solutions and stop trying to beat the market.""",1
2620,"""performance""",2
2621,"""intraday updates""",4
2622,"""More information about market moving events""",3
2623,"""new ideas and unique views""",1
2624,"""Asset managers that I use need to communicate their specific analysis regarding their actions; not just general blah blah blah""",3
2625,"""none - there is too much information to absorb already""",2
2680,"""Transparency of how investments are structured, performance, and fee structure""",2
2681,"""None. The resources are there, people need to learn to use them.""",4
2685,"""unbiased news""",1
2686,"""independent research""",2
2687,"""Portfolio updates, Transparency in fees, outlook of fund""",4
2689,"""transparency""",3
2690,"""Streaming TV""",1
2692,"""Market trends and forecast""",4
2695,"""more detailed updates on strategy.""",3
2697,"""More in-depth and critical news on over and under valued sectors.""",1
2706,"""Less talk about the past successes more talk about trends that are forming""",4
2707,"""Blending different asset allocations and factors into a portfolio whole.""",2
2709,"""Specific Recommendations and predictions""",4
2710,"""up to date allocations or positions inside their funds.""",1
2715,"""Opinions of the fund managers ... more commentary on their views""",3
2717,"""results""",4
2720,"""More general information about markets""",4
2723,"""Less biased advice""",1
2725,"""Market volatility and financial information to better serve my clients""",1
2729,"""Capital market assumptions""",1
2731,"""Current news and upcoming trends""",1
2733,"""information on new and exciting product lines available to my clients""",4
2734,"""Less political talk particularly from Trump supporters, the 4 or 5 still with jobs""",2
2736,"""I am receiving adequate information""",1
2739,"""Unbiased information""",2
2742,"""I'd like easily to consume news regarding markets.""",3
2745,"""less cumbersome technology""",2
2747,"""less bias, opinionated news""",2
2750,"""unbiased information that's not dramatized noise""",2
2755,"""Internet""",3
2759,"""more data supporting outlooks""",3
2761,"""Need better technology tools - our firm needs to help our advisors be more mobile with computers and presentation materials.""",3
2764,"""Input on macroeconomic changes and how they relate to my clients portfolio""",3
2765,"""quicker information""",2
2766,"""?""",1
2767,"""Better understanding of various investment vehicles""",4
2768,"""research""",2
2769,"""Pdf and Power point presentation material for Ipad""",4
2771,"""better customer analytics, performance info, relationship mgmt info""",3
2781,"""how different types of markets affect investment performance.  For example, why would I invest my clients dollars in a bond fund if interest rates are to rise in the near future.""",1
2805,"""Focus more on changing market conditions and client needs.""",4
2806,"""recommendations for specific peer groups""",1
2808,"""internet""",2
2812,"""plenty of information, need more relevant data to long term investing""",2
2813,"""Less regulations.""",4
2827,"""Would like to hear a little more rationale versus which are the 4 and 5 star funds.   Many are also anti ETF and we use them in portfolios.   I don't like being given performance of their fund versus an ETF.  Would rather them work in conjunction with each other.""",3
2830,"""True representation of risk""",1
2832,"""I get pretty comprehensive information from the variety of asset managers I speak to.""",3
2833,"""accurate info""",4
2837,"""Comparisons and accuracy""",2
2838,"""None that I know of.""",4
2839,"""Just need more time to digest news flow""",4
2841,"""not much""",3
2842,"""Rationale for modifications/changes""",2
2845,"""unique planning functionality""",1
2847,"""Branded news""",1
2849,"""Expense ratios and rationale for what they are.""",1
2852,"""?""",4
2856,"""motivational psychology""",4
2857,"""product availability and index construction""",1
2861,"""???""",3
2868,"""Best class share option through Fidelity""",4
2870,"""Factual information from the fed which we are seldom getting if at all.""",2
2872,"""News of the economy.""",1
2873,"""Real time performance info""",3
2878,"""quarterly template for mass emails""",1
2879,"""transparency of accounts""",2
2882,"""Specific rationale for investment allocation""",1
2886,"""None noted""",2
2887,"""the former free  yahoo  financial service""",2
2889,"""no idea""",2
2898,"""No change at this time""",4
2901,"""info on developing trends""",4
2908,"""trends""",4
2909,"""Updates on market changes and the forecasted outlook""",4
2913,"""More business analysis.""",2
2919,"""Accurate Info""",2
2920,"""Better insight on how the market will perform in the future.""",1
2921,"""A cheaper version of a bloomberg terminal.""",3
2923,"""Current portfolio updates""",1
2924,"""we don't invest based on current news - we try to do as we coach our clients. Don't be consumed of the news. It's not helpful.""",2
2925,"""n/a; already receive more research than can possibly be used.""",1
2926,"""I have access to a great deal of information""",1
2927,"""None at this time""",4
2934,"""?""",2
2936,"""Concise daily commentary from portfolio managers""",3
2937,"""All""",1
2941,"""Communications on portfolio changes""",1
2967,"""None.  I'm satisfied with what I get .  If I were 20 years younger my needs would be much greater.  I leave the technology etc. to my son and office staff.  Guess I'm a Planner Emeritus.  90% of my clients are retired and most are over 70 to 95""",4
2981,"""Macro news and what to expect for the coming week in terms of relevant news.""",1
2992,"""Political and economic climate""",4
2994,"""less of the main stream hype and more of the educated forecast and updated regulations""",4
2995,"""More objective advice""",4
2996,"""timely information""",1
2998,"""Regular strategy update information.""",3
2999,"""Nothing specific comes to mind. Maybe retirement plan info.""",1
3004,"""ideas on educational topics; beginner topics for new investors""",1
3009,"""I think there is enough information out there to service clients well.""",2
3012,"""Some are better and providing information frequently as to their view and their response.  I can get it from all of them, but some are more proactive in sending the information.""",3
3020,"""More accurate political news""",1
3022,"""market predictions""",4
3024,"""Other than flexible return data (3 month, 5 year, since inception, etc) I can't think of anything specific""",4
3026,"""I need my research group and my trader.  I am a relative strength guy and the reason I consume news is to answer questions a client might ask.  News stories do not enter my decision making process.""",2
3029,"""accurate, non-biased information""",1
3031,"""portfolio construction""",3
3032,"""Potential impacts to the economy; specifically student debt crises""",2
3033,"""Trends, comparisons in performance and historical \""what if\"" comparisons""",1
3035,"""Fund analytics""",1
3038,"""Sorry, I do my own research""",2
3039,"""Better financial reporting""",4
3042,"""more analytics on markets and individual investments""",3
3045,"""material for client presentations""",2
3050,"""More accurate information with regard to economic changes that will affect my clients and their financial situations.""",4
3052,"""sell recommendations""",1
3053,"""UNBIASED OPINIONS""",3
3055,"""daily newsletter about financial topics""",1
3057,"""A way to consolidate a feed that I design.""",3
3061,"""Portfolio construction""",2
3063,"""various needs: big picture overview (like WSJ.COM), specialized research (e.g. from Schwab) and unique ideas/topics articles""",2
3066,"""More insight on markets and financial products""",4
3067,"""forward thinking""",4
3071,"""More conference calls with managers?""",4
3072,"""I would need updated fi360 reports to help screen out their good funds and bad funds.""",1
3075,"""need to know same info clients are receiving""",1
3078,"""Better communication that I can share with my clients.""",4
3081,"""Buying a practice""",1
3083,"""lie detectors for the managers of the funds""",1
3085,"""Better business newspapers""",2
3087,"""Current unbiased information""",3
3088,"""Acturate Info""",1
3091,"""less systems where I have to enter the same information over and over""",1
3092,"""Market commentary""",3
3093,"""Unbiased information""",3
3094,"""More news on bitcoin""",4
3095,"""getting too much, actually....""",2
3096,"""unbiased reports""",1
3098,"""More on asset allocation""",3
3105,"""how it fits in portfolios""",3
3106,"""z""",2
3108,"""Nine""",2
3115,"""More comparison of fees such as a program like FeeX""",3
3117,"""I am satisfied with the current information sources I work with.  Additional information sources would begin to overwhelm the workday.""",1
3122,"""Wall Street Journal  Investment News""",1
3123,"""I get most of what I need""",3
3126,"""nothing really""",3
